WARNING 2025-09-14 20:49:58,509 basehttp "GET /subjectspage/add_subject.html HTTP/1.1" 404 6422
INFO 2025-09-14 20:51:00,042 basehttp "GET /subjectspage/ HTTP/1.1" 200 4372
INFO 2025-09-14 20:51:00,291 basehttp "GET /subjectspage/ HTTP/1.1" 200 4372
INFO 2025-09-14 20:51:00,495 basehttp "GET /subjectspage/ HTTP/1.1" 200 4372
WARNING 2025-09-14 20:51:01,729 log Not Found: /subjectspage/dashboard/addsubjectpage.html
WARNING 2025-09-14 20:51:01,731 basehttp "GET /subjectspage/dashboard/addsubjectpage.html HTTP/1.1" 404 6461
INFO 2025-09-14 20:52:15,514 autoreload C:\Users\Kaustubh\OneDrive\Desktop\College-Site\dashboard\views.py changed, reloading.
INFO 2025-09-14 20:52:16,380 autoreload Watching for file changes with StatReloader
INFO 2025-09-14 20:52:22,319 autoreload C:\Users\Kaustubh\OneDrive\Desktop\College-Site\dashboard\urls.py changed, reloading.
INFO 2025-09-14 20:52:23,098 autoreload Watching for file changes with StatReloader
INFO 2025-09-14 20:54:11,688 autoreload C:\Users\Kaustubh\OneDrive\Desktop\College-Site\dashboard\urls.py changed, reloading.
INFO 2025-09-14 20:54:12,346 autoreload Watching for file changes with StatReloader
INFO 2025-09-14 20:54:26,791 autoreload Watching for file changes with StatReloader
INFO 2025-09-14 20:54:28,512 basehttp "GET / HTTP/1.1" 200 11582
INFO 2025-09-14 20:54:30,446 basehttp "GET /logout/ HTTP/1.1" 302 0
INFO 2025-09-14 20:54:30,461 basehttp "GET /login/ HTTP/1.1" 200 3359
INFO 2025-09-14 20:54:39,052 basehttp "POST /login/ HTTP/1.1" 302 0
INFO 2025-09-14 20:54:39,124 basehttp "GET /subjectspage/ HTTP/1.1" 200 5094
INFO 2025-09-14 20:54:40,809 basehttp "GET /subjectspage/add/ HTTP/1.1" 200 4865
WARNING 2025-09-14 20:54:43,462 log Not Found: /subjectspage/add/index.html
WARNING 2025-09-14 20:54:43,463 basehttp "GET /subjectspage/add/index.html HTTP/1.1" 404 6689
INFO 2025-09-14 20:56:52,153 autoreload C:\Users\Kaustubh\OneDrive\Desktop\College-Site\dashboard\views.py changed, reloading.
INFO 2025-09-14 20:56:52,932 autoreload Watching for file changes with StatReloader
INFO 2025-09-14 20:58:07,995 autoreload C:\Users\Kaustubh\OneDrive\Desktop\College-Site\dashboard\views.py changed, reloading.
INFO 2025-09-14 20:58:08,735 autoreload Watching for file changes with StatReloader
INFO 2025-09-14 20:58:14,242 autoreload Watching for file changes with StatReloader
INFO 2025-09-14 20:58:19,185 basehttp "GET / HTTP/1.1" 200 11602
